ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
456811,0.12110680296273675,0.9120816356967071,Williams [GA5],Democrat,progressive Democratic leader,39,325,203,912
412541,0.7058175680796337,0.7945635607815315,Barr,Republican,moderate Republican leader,47,176,180,373
412655,0.8891329820734938,0.6000753509815476,Babin,Republican,conservative Republican,10,183,144,167
456841,0.7260494590704595,0.5687397041903293,Bice,Republican,rank-and-file Republican,23,160,100,134
412683,0.8106575745301516,0.6838883077328314,Biggs [AZ5],Republican,conservative Republican,101,194,73,236
412196,0.6537273535062866,0.8706728573310342,Buchanan,Republican,moderate Republican leader,43,172,325,585
400108,0.5754493205525749,0.4467514188898322,Diaz-Balart,Republican,rank-and-file Republican,9,59,79,102
412434,0.7650967781894059,0.2652336356060555,Harris [MD1],Republican,conservative Republican,3,216,14,16
456844,0.8008646456053817,0.5909198078073603,Harshbarger,Republican,conservative Republican,23,180,138,195
456816,0.7584247275660407,0.7524988124575046,Hinson,Republican,conservative Republican leader,21,181,127,184
412566,0.5591111396317561,0.7134903933767314,Joyce [OH14],Republican,moderate Republican leader,16,62,265,407
412624,0.6729069717436004,0.4054784332342982,Loudermilk,Republican,rank-and-file Republican,16,118,98,141
456823,0.8130104432982243,0.7400177773367008,Mann,Republican,conservative Republican leader,17,233,179,399
412811,0.7663261739136868,0.44168907497763216,Meuser,Republican,conservative Republican,11,241,52,71
412738,0.8960536999590175,0.6793753288318125,Norman,Republican,conservative Republican,17,127,135,203
412261,0.48396408005472114,0.35236259953004645,Scalise,Republican,centrist Republican,3,4,5,5
412648,0.7506358440940101,0.7627802771770751,Stefanik,Republican,conservative Republican leader,22,190,39,45
412766,0.8752859028675606,0.8352830811020885,Steube,Republican,conservative Republican leader,77,222,256,541
412720,0.8803686115564208,0.821752495773099,Tenney,Republican,conservative Republican leader,67,479,212,458
412578,0.7653010190896653,0.5543916711507368,Williams [TX25],Republican,conservative Republican,35,165,151,308
412520,0.12457126855189567,0.7226405649948731,Takano,Democrat,progressive Democratic leader,17,243,224,419
400295,0.0,0.6141106495419928,Norton,Democrat,progressive Democrat,75,1188,223,283
400245,0.2543895620146133,0.602071716559291,Lofgren,Democrat,rank-and-file Democrat,15,243,136,269
412561,0.29804172805256707,0.3594993778919786,Jeffries,Democrat,rank-and-file Democrat,1,21,13,13
412763,0.12825507142988493,0.72034398950936,Hayes,Democrat,progressive Democratic leader,25,324,217,989
412193,0.31802343542828804,0.603953098000093,Courtney,Democrat,rank-and-file Democrat,6,154,125,172
412282,0.3146676740146633,0.14623323444657954,Himes,Democrat,moderate Democratic follower,2,137,3,3
